symbol,pe_ratio,pb_ratio,ev_ebitda,fcf_yield,revenue_growth,eps_growth,earnings_growth,roe,roa,gross_margin,debt_to_equity,recommendation,target_mean,target_low,target_high,num_analysts,sector,industry,market_cap,current_price,value_score,growth_score,quality_score,analyst_score,composite_score,composite_rank,composite_percentile,sector_relative_score
CC,78.72222,3.6605527,8.446,-0.0480342920193755,0.004,,,0.04198,0.033180002,0.19057,755.345,buy,14.88889,11.0,18.0,9.0,Basic Materials,Specialty Chemicals,2120880640,14.17,0.2408376963350785,0.1008,0.5086805202581332,0.4476799576570219,0.3141574304964612,29.0,0.06666666666666667,1.0
CRM,42.18025,4.249597,22.477,0.0560886331972251,0.076,0.019,0.019,0.10312,0.050869998,0.77336997,19.813,buy,350.04083,225.0,440.0,49.0,Technology,Software - Application,257269153792,269.11,0.17539267015706803,0.219,0.8653208438122391,0.48505583218758125,0.4207091784376964,23.0,0.26666666666666666,0.6666666666666666
ACCO,268.9252175999999,0.5946187,6.641,0.4394813515570587,-0.116,,,-0.15902,0.03346,0.3352,168.834,none,9.66667,6.0,12.0,3.0,Industrials,Business Equipment & Supplies,360396416,4.0,0.45942408376963345,0.07680000000000001,0.5796145172849365,0.75,0.45193085445212416,18.0,0.43333333333333335,0.6
META,27.849941,9.717878,20.132,0.0204580274319557,0.161,0.365,0.365,0.39835,0.17879999,0.81767,26.763,strong_buy,754.57886,566.0,935.0,62.0,Communication Services,Internet Content & Information,1791912706048,712.68,0.18979057591623033,0.3052,0.8952240292568258,0.5588658303867093,0.46881634616641743,15.0,0.5333333333333333,0.75
AHL,5.0796175,1.1634268,3.576,0.0,0.05,-0.5,-0.797,0.13481,,0.30778998,11.694,none,40.125,36.0,45.0,8.0,Financial Services,Insurance - Property & Casualty,2929644800,31.9,0.8102094240837696,0.11000000000000001,0.7512433228343617,0.5178291536050157,0.5619394886547244,11.0,0.6666666666666666,0.3333333333333333
UTZ,43.393936,1.6984937,22.745,0.0143684503997854,0.016,,,0.02458,0.012460001,0.34876,74.569,buy,17.3,14.0,20.0,10.0,Consumer Defensive,Packaged Foods,1232404992,14.32,0.231675392670157,0.1032,0.6347527586572902,0.5735335195530726,0.36869751137598417,24.0,0.23333333333333334,0.5
PMTS,13.291139,-7.972665,6.656,0.0869037579534339,0.097,-0.13,-0.13,,0.116780005,0.37087002,,none,36.75,34.0,40.0,4.0,Financial Services,Credit Services,236911504,21.0,0.6910994764397905,0.1934,0.7016841967939589,0.75,0.5811008921304268,7.0,0.8,0.5
DDL,11.736842,0.585917,-2.002,1.3535447790834998,0.091,-0.363,-0.363,0.40240002,0.01942,0.29962,294.827,buy,3.4480665,2.9024472,4.424757,3.0,Consumer Defensive,Grocery Stores,483397120,2.23,0.8102094240837696,0.1456,0.5726371566441952,0.7759661434977579,0.5778153450857313,8.0,0.7666666666666667,1.0
SLP,268.9252175999999,2.1501706,18.287,0.0322919517659355,0.098,,,-0.41487998,0.027449999,0.53745,0.581,buy,25.33333,20.0,31.0,3.0,Healthcare,Health Information Services,266281520,13.23,0.16492146596858637,0.1196,0.8045914042493048,0.9,0.46052429085290214,16.0,0.5,0.6
UAL,9.138415,2.2060533,5.605,0.0787797067122234,0.017,-0.25,-0.25,0.27708,0.04586,0.34657001,245.166,strong_buy,105.85714,43.0,130.0,21.0,Industrials,Airlines,29495222272,91.11,0.5418848167539266,0.1534,0.6072513884672772,0.5,0.45272829214299726,17.0,0.4666666666666667,0.8
INSW,6.233746,1.0620567,5.702,0.046695854050892,-0.332,-0.5,-0.658,0.17567,0.07778,0.61454,32.848,strong_buy,53.8,41.0,70.0,5.0,Energy,Oil & Gas Midstream,1986849280,40.27,0.7617801047120419,0.0336,0.7939331207919164,0.698829774025329,0.5751832664166574,9.0,0.7333333333333333,1.0
CLDX,268.9252175999999,2.2049103,-4.115,-0.0652043613828053,2.0,,,-0.23202999,-0.16882,0.0,0.488,strong_buy,58.53846,31.0,90.0,13.0,Healthcare,Biotechnology,1550304640,23.35,0.4240837696335078,0.5,0.6326687199002847,0.8922644539614559,0.5888452016574147,5.0,0.8666666666666667,1.0
VERA,268.9252175999999,2.599833,-4.431,-0.0698363833114649,,,,-0.39494,-0.23464,0.0,10.18,none,63.35714,23.0,100.0,14.0,Healthcare,Biotechnology,1390915328,21.81,0.40052356020942403,0.0,0.5854726968226995,0.4716013296652911,0.36084550820156036,25.0,0.2,0.4
MPAA,268.9252175999999,0.91560453,6.48,0.1656568004612243,0.019,,,-0.07174,0.03542,0.20311001,79.341,none,16.0,16.0,16.0,1.0,Consumer Cyclical,Auto Parts,235949408,12.14,0.44764397905759157,0.1038,0.579839335226919,0.6362232289950576,0.4324476733230187,20.0,0.36666666666666664,1.0
FINV,6.4316545,0.14643495,0.446,1.6003994263303174,0.1,0.462,0.462,0.17514,0.19665001,0.79204005,0.374,strong_buy,11.850343,11.041661,13.270364,7.0,Financial Services,Credit Services,2265521152,8.94,0.8900523560209423,0.3124,0.9665163150891134,0.834428201901566,0.7536304259588742,1.0,1.0,1.0
CRTO,9.540983,1.1714387,3.543,0.1960972052986477,0.003,2.0,4.5,0.13453001,0.057729997,0.51829,10.062,buy,40.41667,27.0,54.0,12.0,Communication Services,Advertising Agencies,1237143424,23.28,0.7054973821989527,0.6006,0.8339537233627569,0.6873711340206186,0.7077618723044987,2.0,0.9666666666666667,1.0
DVN,7.5034165,1.4584901,3.762,-0.0760610540763638,0.216,-0.183,-0.183,0.20963,0.09558,0.52443004,60.969,buy,44.39286,33.0,66.0,28.0,Energy,Oil & Gas E&P,21150771200,32.94,0.675392670157068,0.2066,0.7305879262703519,0.5886384335154828,0.5546424693178049,12.0,0.6333333333333333,0.6666666666666666
